-------------------------------------------------
   HGHT            TEMP             PRES
    km              K                 bar
-------------------------------------------------
197.8238     175.8431   8.0459e-04      
197.6655     175.9519   8.0742e-04      
197.5075     176.0647   8.1026e-04      
197.3501     176.0383   8.1310e-04      
197.1927     175.8690   8.1595e-04      
197.0350     175.6790   8.1882e-04      
196.8771     175.5673   8.2171e-04      
196.7190     175.5286   8.2461e-04      
196.5612     175.4980   8.2752e-04      
196.4035     175.4257   8.3044e-04      
196.2458     175.3172   8.3336e-04      
196.0881     175.1854   8.3631e-04      
195.9306     175.0175   8.3926e-04      
195.7729     174.8372   8.4223e-04      
195.6149     174.7150   8.4521e-04      
195.4567     174.7011   8.4822e-04      
195.2985     174.7650   8.5123e-04      
195.1406     174.8386   8.5425e-04      
194.9826     174.9132   8.5728e-04      
194.8245     175.0061   8.6032e-04      
194.6668     175.0753   8.6337e-04      
194.5092     175.0637   8.6642e-04      
194.3516     174.9838   8.6948e-04      
194.1936     174.9453   8.7257e-04      
194.0354     175.0202   8.7566e-04      
193.8774     175.1412   8.7877e-04      
193.7198     175.1957   8.8188e-04      
193.5623     175.1500   8.8499e-04      
193.4048     175.0584   8.8812e-04      
193.2470     174.9853   8.9127e-04      
193.0892     174.9473   8.9443e-04      
192.9315     174.9102   8.9760e-04      
192.7739     174.8265   9.0078e-04      
192.6164     174.7005   9.0397e-04      
192.4587     174.5781   9.0718e-04      
192.3009     174.4856   9.1041e-04      
192.1432     174.4141   9.1365e-04      
191.9855     174.3307   9.1690e-04      
191.8278     174.2466   9.2016e-04      
191.6700     174.1850   9.2344e-04      
191.5121     174.1507   9.2674e-04      
191.3542     174.1567   9.3005e-04      
191.1963     174.1867   9.3336e-04      
191.0385     174.2111   9.3669e-04      
190.8810     174.2001   9.4003e-04      
190.7235     174.1265   9.4338e-04      
190.5661     173.9963   9.4674e-04      
190.4086     173.8326   9.5011e-04      
190.2510     173.6798   9.5351e-04      
190.0934     173.5547   9.5692e-04      
189.9359     173.4137   9.6034e-04      
189.7782     173.2663   9.6378e-04      
189.6202     173.1937   9.6725e-04      
189.4620     173.2402   9.7073e-04      
189.3040     173.3453   9.7422e-04      
189.1463     173.4139   9.7771e-04      
188.9887     173.4252   9.8122e-04      
188.8312     173.3912   9.8473e-04      
188.6737     173.3280   9.8826e-04      
188.5160     173.2732   9.9181e-04      
188.3581     173.2723   9.9537e-04      
188.2003     173.3047   9.9895e-04      
188.0429     173.2879   1.0025e-03      
187.8856     173.1927   1.0061e-03      
187.7280     173.0880   1.0097e-03      
187.5702     173.0340   1.0134e-03      
187.4128     172.9714   1.0170e-03      
187.2549     172.9300   1.0207e-03      
187.0968     172.9940   1.0244e-03      
186.9387     173.1195   1.0281e-03      
186.7810     173.2351   1.0317e-03      
186.6235     173.2928   1.0355e-03      
186.4660     173.2937   1.0392e-03      
186.3086     173.2667   1.0429e-03      
186.1510     173.2402   1.0466e-03      
185.9933     173.2296   1.0504e-03      
185.8359     173.1955   1.0542e-03      
185.6787     173.1000   1.0580e-03      
185.5215     172.9446   1.0618e-03      
185.3642     172.7615   1.0656e-03      
185.2065     172.6254   1.0694e-03      
