HGHT (km)		TEMP (K)		PRES (hPa)
2.253E+02		1.766E+02		4.181E-01
2.252E+02		1.766E+02		4.195E-01
2.250E+02		1.766E+02		4.210E-01
2.248E+02		1.765E+02		4.224E-01
2.247E+02		1.765E+02		4.239E-01
2.245E+02		1.764E+02		4.254E-01
2.244E+02		1.763E+02		4.268E-01
2.242E+02		1.762E+02		4.283E-01
2.241E+02		1.763E+02		4.298E-01
2.239E+02		1.766E+02		4.313E-01
2.237E+02		1.768E+02		4.328E-01
2.236E+02		1.768E+02		4.342E-01
2.234E+02		1.765E+02		4.357E-01
2.233E+02		1.761E+02		4.372E-01
2.231E+02		1.759E+02		4.388E-01
2.229E+02		1.761E+02		4.403E-01
2.228E+02		1.763E+02		4.418E-01
2.226E+02		1.762E+02		4.433E-01
2.225E+02		1.761E+02		4.449E-01
2.223E+02		1.760E+02		4.464E-01
2.222E+02		1.760E+02		4.480E-01
2.220E+02		1.761E+02		4.495E-01
2.218E+02		1.761E+02		4.511E-01
2.217E+02		1.760E+02		4.526E-01
2.215E+02		1.759E+02		4.542E-01
2.214E+02		1.758E+02		4.558E-01
2.212E+02		1.757E+02		4.573E-01
2.210E+02		1.755E+02		4.589E-01
2.209E+02		1.754E+02		4.605E-01
2.207E+02		1.753E+02		4.621E-01
2.206E+02		1.752E+02		4.637E-01
2.204E+02		1.752E+02		4.653E-01
2.203E+02		1.752E+02		4.670E-01
2.201E+02		1.753E+02		4.686E-01
2.199E+02		1.753E+02		4.702E-01
2.198E+02		1.751E+02		4.719E-01
2.196E+02		1.749E+02		4.735E-01
2.195E+02		1.747E+02		4.752E-01
2.193E+02		1.748E+02		4.768E-01
2.191E+02		1.749E+02		4.785E-01
2.190E+02		1.750E+02		4.802E-01
2.188E+02		1.748E+02		4.818E-01
2.187E+02		1.746E+02		4.835E-01
2.185E+02		1.746E+02		4.852E-01
2.184E+02		1.747E+02		4.869E-01
2.182E+02		1.749E+02		4.886E-01
2.180E+02		1.750E+02		4.903E-01
2.179E+02		1.752E+02		4.920E-01
2.177E+02		1.754E+02		4.938E-01
2.176E+02		1.754E+02		4.955E-01
2.174E+02		1.752E+02		4.972E-01
2.172E+02		1.749E+02		4.989E-01
2.171E+02		1.746E+02		5.007E-01
2.169E+02		1.744E+02		5.024E-01
2.168E+02		1.744E+02		5.042E-01
2.166E+02		1.745E+02		5.060E-01
2.165E+02		1.745E+02		5.077E-01
2.163E+02		1.744E+02		5.095E-01
2.161E+02		1.742E+02		5.113E-01
2.160E+02		1.741E+02		5.131E-01
2.158E+02		1.741E+02		5.149E-01
2.157E+02		1.740E+02		5.167E-01
2.155E+02		1.741E+02		5.185E-01
2.153E+02		1.743E+02		5.204E-01
2.152E+02		1.746E+02		5.222E-01
2.150E+02		1.748E+02		5.240E-01
2.149E+02		1.748E+02		5.258E-01
2.147E+02		1.746E+02		5.277E-01
2.146E+02		1.745E+02		5.295E-01
2.144E+02		1.745E+02		5.314E-01
2.142E+02		1.745E+02		5.333E-01
2.141E+02		1.744E+02		5.351E-01
2.139E+02		1.743E+02		5.370E-01
2.138E+02		1.744E+02		5.389E-01
2.136E+02		1.745E+02		5.408E-01
2.134E+02		1.745E+02		5.427E-01
2.133E+02		1.745E+02		5.446E-01
2.131E+02		1.745E+02		5.465E-01
2.130E+02		1.744E+02		5.484E-01
2.128E+02		1.742E+02		5.504E-01
2.127E+02		1.741E+02		5.523E-01
2.125E+02		1.741E+02		5.542E-01
2.123E+02		1.742E+02		5.562E-01
2.122E+02		1.743E+02		5.581E-01
2.120E+02		1.744E+02		5.601E-01
2.119E+02		1.743E+02		5.621E-01
2.117E+02		1.742E+02		5.640E-01
2.116E+02		1.741E+02		5.660E-01
2.114E+02		1.740E+02		5.680E-01
2.112E+02		1.739E+02		5.700E-01
2.111E+02		1.738E+02		5.720E-01
2.109E+02		1.737E+02		5.741E-01
2.108E+02		1.736E+02		5.761E-01
2.106E+02		1.736E+02		5.781E-01
2.104E+02		1.736E+02		5.802E-01
2.103E+02		1.735E+02		5.822E-01
2.101E+02		1.734E+02		5.843E-01
2.100E+02		1.734E+02		5.864E-01
2.098E+02		1.735E+02		5.884E-01
2.097E+02		1.736E+02		5.905E-01
2.095E+02		1.737E+02		5.926E-01
2.093E+02		1.736E+02		5.947E-01
2.092E+02		1.735E+02		5.968E-01
2.090E+02		1.734E+02		5.989E-01
2.089E+02		1.733E+02		6.010E-01
2.087E+02		1.730E+02		6.032E-01
2.085E+02		1.729E+02		6.053E-01
2.084E+02		1.729E+02		6.075E-01
2.082E+02		1.731E+02		6.096E-01
2.081E+02		1.731E+02		6.118E-01
2.079E+02		1.729E+02		6.139E-01
2.078E+02		1.727E+02		6.161E-01
2.076E+02		1.727E+02		6.183E-01
2.074E+02		1.727E+02		6.205E-01
2.073E+02		1.729E+02		6.227E-01
2.071E+02		1.730E+02		6.250E-01
2.070E+02		1.730E+02		6.272E-01
2.068E+02		1.729E+02		6.294E-01
2.067E+02		1.727E+02		6.316E-01
2.065E+02		1.725E+02		6.339E-01
2.063E+02		1.725E+02		6.361E-01
2.062E+02		1.726E+02		6.384E-01
2.060E+02		1.727E+02		6.407E-01
2.059E+02		1.727E+02		6.430E-01
2.057E+02		1.727E+02		6.453E-01
2.055E+02		1.727E+02		6.476E-01
2.054E+02		1.726E+02		6.499E-01
2.052E+02		1.725E+02		6.522E-01
2.051E+02		1.726E+02		6.545E-01
2.049E+02		1.726E+02		6.569E-01
2.048E+02		1.727E+02		6.592E-01
2.046E+02		1.727E+02		6.616E-01
2.044E+02		1.726E+02		6.639E-01
2.043E+02		1.725E+02		6.663E-01
2.041E+02		1.726E+02		6.687E-01
2.040E+02		1.727E+02		6.711E-01
2.038E+02		1.730E+02		6.735E-01
2.037E+02		1.731E+02		6.758E-01
2.035E+02		1.729E+02		6.783E-01
2.033E+02		1.728E+02		6.807E-01
2.032E+02		1.727E+02		6.831E-01
2.030E+02		1.728E+02		6.855E-01
2.029E+02		1.728E+02		6.880E-01
2.027E+02		1.727E+02		6.904E-01
2.025E+02		1.727E+02		6.929E-01
2.024E+02		1.727E+02		6.954E-01
2.022E+02		1.728E+02		6.979E-01
2.021E+02		1.729E+02		7.004E-01
2.019E+02		1.728E+02		7.028E-01
2.018E+02		1.727E+02		7.054E-01
2.016E+02		1.727E+02		7.079E-01
2.014E+02		1.728E+02		7.104E-01
2.013E+02		1.728E+02		7.129E-01
2.011E+02		1.729E+02		7.155E-01
2.010E+02		1.729E+02		7.180E-01
2.008E+02		1.729E+02		7.206E-01
2.007E+02		1.729E+02		7.232E-01
2.005E+02		1.728E+02		7.258E-01
2.003E+02		1.727E+02		7.283E-01
2.002E+02		1.726E+02		7.309E-01
2.000E+02		1.725E+02		7.336E-01
1.999E+02		1.725E+02		7.362E-01
1.997E+02		1.725E+02		7.388E-01
1.995E+02		1.726E+02		7.415E-01
1.994E+02		1.727E+02		7.441E-01
1.992E+02		1.727E+02		7.468E-01
1.991E+02		1.726E+02		7.495E-01
1.989E+02		1.725E+02		7.521E-01
1.988E+02		1.725E+02		7.548E-01
1.986E+02		1.724E+02		7.575E-01
1.984E+02		1.724E+02		7.603E-01
1.983E+02		1.725E+02		7.630E-01
1.981E+02		1.726E+02		7.657E-01
1.980E+02		1.727E+02		7.685E-01
1.978E+02		1.726E+02		7.712E-01
1.977E+02		1.726E+02		7.740E-01
1.975E+02		1.725E+02		7.767E-01
1.973E+02		1.724E+02		7.795E-01
1.972E+02		1.723E+02		7.823E-01
1.970E+02		1.722E+02		7.851E-01
1.969E+02		1.722E+02		7.880E-01
1.967E+02		1.721E+02		7.908E-01
1.965E+02		1.718E+02		7.936E-01
1.964E+02		1.716E+02		7.965E-01
1.962E+02		1.713E+02		7.993E-01
1.961E+02		1.712E+02		8.022E-01
1.959E+02		1.711E+02		8.051E-01
1.958E+02		1.711E+02		8.081E-01
1.956E+02		1.711E+02		8.110E-01
1.954E+02		1.712E+02		8.139E-01
1.953E+02		1.713E+02		8.169E-01
